,comp_cik,year,vwretd,yret,basis_points_delta,finbert_positive,finbert_negative,finbert_neutral
56,1604813,2016,0.01877218,0.010546844268285449,-0.00822533573171455,,,
57,1605803,2016,0.002929358,0.00073057759613393,-0.00219878040386607,,,
58,1605941,2016,0.002929358,0.00023577230184024245,-0.0026935856981597575,,,
59,1607673,2016,0.002929358,0.023515174130309457,0.020585816130309458,,,
60,1607673,2016,0.002929358,0.023515174130309457,0.020585816130309458,,,
61,1607673,2016,0.002929358,0.023515174130309457,0.020585816130309458,,,
62,1608530,2016,0.01877218,0.005908875940733083,-0.012863304059266917,,,
63,1612930,2016,0.002929358,0.006632592038312568,0.003703234038312568,,,
64,1616668,2016,0.01877218,0.01142136412186856,-0.007350815878131439,,,
65,1617113,2016,0.002929358,-0.06582441001478323,-0.06875376801478322,,,
66,1617113,2016,0.002929358,-0.06582441001478323,-0.06875376801478322,,,
